close,epoch,high,low,open
1.09579,1703091600,1.09606,1.09498,1.09564
1.09599,1703095200,1.09637,1.09561,1.09579
1.09468,1703098800,1.09608,1.09429,1.09598
1.09316,1703102400,1.09487,1.09312,1.09467
1.09425,1703106000,1.09443,1.09299,1.09318
1.09434,1703109600,1.09461,1.09377,1.09426
1.09434,1703113200,1.09464,1.09428,1.09438
1.09499,1703116800,1.09502,1.09411,1.09434
1.09525,1703120400,1.09537,1.09483,1.09499
1.09496,1703124000,1.09544,1.09454,1.09524
1.09491,1703127600,1.09501,1.09466,1.09496
1.09492,1703131200,1.09503,1.09474,1.09492
1.09545,1703134800,1.0956,1.09487,1.09494
1.09446,1703138400,1.09548,1.09432,1.09547
1.09471,1703142000,1.09504,1.09426,1.09447
1.09399,1703145600,1.0955,1.09392,1.09471
1.0944,1703149200,1.09466,1.09353,1.09397
1.09541,1703152800,1.09563,1.09402,1.0944
1.09799,1703156400,1.09847,1.09539,1.09539
1.09809,1703160000,1.0987,1.09771,1.098
1.09906,1703163600,1.10022,1.09733,1.09808
1.09925,1703167200,1.10014,1.09825,1.09912
1.09897,1703170800,1.09949,1.09756,1.09924
1.09897,1703174400,1.09947,1.09795,1.09898
1.09864,1703178000,1.09911,1.0978,1.09897
1.09895,1703181600,1.09913,1.09785,1.09861
1.09993,1703185200,1.10008,1.09884,1.09897
1.1003,1703188800,1.10033,1.09932,1.09991
1.10109,1703192400,1.10128,1.10025,1.1003
1.10084,1703196000,1.10115,1.09993,1.10112
1.10059,1703199600,1.10126,1.10058,1.10088
1.10049,1703203200,1.10101,1.10032,1.10058
1.09981,1703206800,1.10066,1.09972,1.10049
1.10002,1703210400,1.10008,1.09956,1.09981
1.09978,1703214000,1.1005,1.09958,1.10001
1.10008,1703217600,1.10033,1.09979,1.09979
1.09967,1703221200,1.10007,1.09958,1.10007
1.09946,1703224800,1.10003,1.09946,1.0997
1.10007,1703228400,1.10077,1.09941,1.09944
1.10073,1703232000,1.10119,1.09993,1.10004
1.10044,1703235600,1.10136,1.10027,1.10073
1.10194,1703239200,1.1021,1.10038,1.10045
1.1026,1703242800,1.10299,1.10172,1.10193
1.10186,1703246400,1.10381,1.10162,1.1026
1.10288,1703250000,1.10291,1.10021,1.10187
1.10375,1703253600,1.10401,1.1025,1.10293
1.10368,1703257200,1.10368,1.10368,1.10368
1.10192,1703548800,1.10201,1.10158,1.10191
1.10221,1703552400,1.10229,1.10178,1.10195
1.1026,1703556000,1.10266,1.10197,1.10223
1.1028,1703559600,1.10288,1.10254,1.1026
1.10226,1703563200,1.1028,1.10224,1.10279
1.10268,1703566800,1.10274,1.10211,1.10226
1.10238,1703570400,1.10268,1.10221,1.10268
1.10224,1703574000,1.10256,1.10211,1.10238
1.10149,1703577600,1.10266,1.10136,1.10226
1.10144,1703581200,1.10151,1.10098,1.1015
1.10165,1703584800,1.10197,1.1014,1.10143
1.1014,1703588400,1.10168,1.1011,1.10166
1.10131,1703592000,1.10174,1.10087,1.1014
1.10178,1703595600,1.10248,1.10121,1.10129
1.10265,1703599200,1.10274,1.1014,1.10178
1.1025,1703602800,1.10326,1.10234,1.10264
1.10345,1703606400,1.10375,1.10243,1.1025
1.1035,1703610000,1.10372,1.10303,1.10345
1.10366,1703613600,1.104,1.10342,1.10351
1.10444,1703617200,1.10449,1.10365,1.10365
1.10425,1703620800,1.10451,1.10405,1.10445
1.10423,1703624400,1.10436,1.10407,1.10426
1.10417,1703628000,1.10439,1.10395,1.10422
1.10424,1703631600,1.10445,1.10417,1.10417
1.1037,1703635200,1.10426,1.10359,1.10425
1.10363,1703638800,1.10377,1.10322,1.10369
1.10311,1703642400,1.10367,1.10295,1.10363
1.10366,1703646000,1.10367,1.10287,1.10312
1.10418,1703649600,1.10422,1.10364,1.10365
1.10435,1703653200,1.10441,1.10371,1.10419
1.10452,1703656800,1.10454,1.10405,1.10436
1.10417,1703660400,1.10492,1.10366,1.10447
1.10471,1703664000,1.10544,1.10379,1.10414
1.10546,1703667600,1.10549,1.10464,1.10472
1.10561,1703671200,1.10595,1.10521,1.10546
1.10588,1703674800,1.10596,1.10503,1.10563
1.10689,1703678400,1.107,1.10487,1.10592
1.10705,1703682000,1.10739,1.10622,1.10684
1.11048,1703685600,1.11056,1.1069,1.10706
1.11075,1703689200,1.11156,1.10994,1.11046
1.11128,1703692800,1.11227,1.11026,1.11074
1.11055,1703696400,1.1113,1.11039,1.11128
1.11079,1703700000,1.11091,1.11017,1.11055
1.11014,1703703600,1.11143,1.10991,1.11078
1.11064,1703707200,1.11078,1.11012,1.11016
1.11054,1703710800,1.11077,1.11026,1.11065
1.11052,1703714400,1.11067,1.11008,1.11051
1.11083,1703718000,1.111,1.11056,1.11059
1.11147,1703721600,1.11169,1.1108,1.11083
1.11219,1703725200,1.11222,1.11135,1.11148
1.11179,1703728800,1.11228,1.11098,1.1122
1.11187,1703732400,1.1121,1.11146,1.11179
1.11105,1703736000,1.11187,1.11103,1.11187
1.11093,1703739600,1.11178,1.11087,1.11103
1.11134,1703743200,1.11153,1.1105,1.11094
1.11169,1703746800,1.11257,1.11133,1.11133
1.11211,1703750400,1.11219,1.11045,1.11169
1.11295,1703754000,1.11396,1.11143,1.11212
1.11278,1703757600,1.11324,1.11229,1.11294
1.11201,1703761200,1.11321,1.11145,1.11278
1.11125,1703764800,1.11202,1.1111,1.11202
1.1073,1703768400,1.11202,1.10726,1.11126
1.11028,1703772000,1.1105,1.10724,1.10731
1.11069,1703775600,1.11135,1.11001,1.11028
1.10719,1703779200,1.1107,1.10692,1.11069
1.1074,1703782800,1.10767,1.10662,1.1072
1.10641,1703786400,1.10741,1.10553,1.10741
1.10647,1703790000,1.10662,1.10578,1.10641
1.10657,1703793600,1.10707,1.1063,1.10646
1.10616,1703797200,1.10661,1.10601,1.10657
1.10629,1703800800,1.10675,1.10609,1.10609
1.1068,1703804400,1.1068,1.10618,1.10629
1.10764,1703808000,1.10791,1.10664,1.10679
1.1079,1703811600,1.10845,1.10754,1.10765
1.10716,1703815200,1.10795,1.10709,1.10791
1.10652,1703818800,1.10729,1.10639,1.10717
1.10668,1703822400,1.1069,1.10639,1.10652
1.10663,1703826000,1.1067,1.1061,1.10668
1.10743,1703829600,1.10749,1.1066,1.10664
1.10657,1703833200,1.10763,1.10641,1.10732
1.10607,1703836800,1.10777,1.10583,1.10661
1.10491,1703840400,1.10614,1.10445,1.10606
1.10649,1703844000,1.10672,1.10476,1.10492
1.10764,1703847600,1.10769,1.10616,1.10652
1.10515,1703851200,1.10807,1.10481,1.10766
1.10488,1703854800,1.10589,1.10468,1.10516
1.10688,1703858400,1.10703,1.10471,1.10487
1.10688,1703862000,1.10688,1.10688,1.10688
1.10383,1704153600,1.10385,1.10344,1.10367
1.1035,1704157200,1.10435,1.10344,1.10383
1.10189,1704160800,1.10361,1.10183,1.10349
1.10249,1704164400,1.10249,1.10178,1.10188
1.10208,1704168000,1.10251,1.10167,1.10246
1.10334,1704171600,1.10337,1.10209,1.10211
1.10288,1704175200,1.10353,1.10271,1.10336
1.10156,1704178800,1.10381,1.10154,1.10288
1.10297,1704182400,1.10389,1.10156,1.10156
1.10153,1704186000,1.1038,1.1011,1.103
1.10076,1704189600,1.10171,1.09971,1.10153
1.09693,1704193200,1.10077,1.09666,1.10077
1.0954,1704196800,1.0972,1.09539,1.09692
1.09525,1704200400,1.0965,1.09498,1.09539
1.09625,1704204000,1.09642,1.09448,1.09529
1.0944,1704207600,1.09683,1.0941,1.09631
1.09564,1704211200,1.09618,1.0941,1.09436
1.09507,1704214800,1.09577,1.09462,1.09565
